mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
0.49,"10km S of Idyllwild, CA",1666769938640,1666806249528,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40365936,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40365936&format=geojson,,,,,reviewed,0,4,ci,40365936,",ci40365936,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",26.0,0.04708,0.13,58.0,ml,earthquake,"M 0.5 - 10km S of Idyllwild, CA"
1.1,"105 km S of McCarthy, Alaska",1666769162816,1666801104609,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022dqm08gq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022dqm08gq&format=geojson,,,,,reviewed,0,19,ak,022dqm08gq,",ak022dqm08gq,",",ak,",",origin,phase-data,",,,0.44,,ml,earthquake,"M 1.1 - 105 km S of McCarthy, Alaska"
1.82,"4 km WSW of Guánica, Puerto Rico",1666768847400,1666991253510,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71379778,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71379778&format=geojson,,,,,reviewed,0,51,pr,71379778,",pr71379778,",",pr,",",origin,phase-data,",10.0,0.07036,0.1,202.0,md,earthquake,"M 1.8 - 4 km WSW of Guánica, Puerto Rico"
2.28,"4 km WSW of Guánica, Puerto Rico",1666768847360,1666777534416,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2022299000,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2022299000&format=geojson,,,,,reviewed,0,80,pr,2022299000,",pr2022299000,",",pr,",",origin,phase-data,",10.0,0.0742,0.07,210.0,md,earthquake,"M 2.3 - 4 km WSW of Guánica, Puerto Rico"
5.3,"116 km SSE of Kushiro, Japan",1666767963104,1666790561040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ikfi,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000ikfi&format=geojson,,,,,reviewed,0,432,us,7000ikfi,",us7000ikfi,",",us,",",origin,phase-data,",90.0,1.178,1.04,99.0,mww,earthquake,"M 5.3 - 116 km SSE of Kushiro, Japan"
4.6,"112 km SSE of Kushiro, Japan",1666767912312,1666769828040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ikfl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000ikfl&format=geojson,,,,,reviewed,0,326,us,7000ikfl,",us7000ikfl,",",us,",",origin,phase-data,",27.0,1.163,0.38,176.0,mb,earthquake,"M 4.6 - 112 km SSE of Kushiro, Japan"
2.34,"40km SSW of Qualeys Camp, NV",1666767897420,1666803081962,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799346,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799346&format=geojson,,,,,reviewed,0,84,nc,73799346,",nc73799346,nn00850033,",",nc,nn,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",38.0,0.2356,0.05,71.0,md,earthquake,"M 2.3 - 40km SSW of Qualeys Camp, NV"
0.1,"39 km SSE of Goldfield, Nevada",1666767533602,1666838621652,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850116,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850116&format=geojson,,,,,reviewed,0,0,nn,00850116,",nn00850116,",",nn,",",origin,phase-data,",6.0,0.127,0.0867,210.9,ml,earthquake,"M 0.1 - 39 km SSE of Goldfield, Nevada"
0.1,"57 km S of Rachel, Nevada",1666767527814,1666838630681,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850117,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850117&format=geojson,,,,,reviewed,0,0,nn,00850117,",nn00850117,",",nn,",",origin,phase-data,",5.0,0.155,0.1033,328.87,ml,earthquake,"M 0.1 - 57 km S of Rachel, Nevada"
0.85,"8km W of Cobb, CA",1666766760330,1666767792056,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799341,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799341&format=geojson,,,,,automatic,0,11,nc,73799341,",nc73799341,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.01304,0.01,62.0,md,earthquake,"M 0.9 - 8km W of Cobb, CA"
0.4,"40 km SSE of Goldfield, Nevada",1666766437545,1666838617635,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850115,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850115&format=geojson,,,,,reviewed,0,2,nn,00850115,",nn00850115,",",nn,",",origin,phase-data,",5.0,0.115,0.1136,202.16,ml,earthquake,"M 0.4 - 40 km SSE of Goldfield, Nevada"
4.8,"129 km WNW of Pangai, Tonga",1666765709390,1666767075040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ikff,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000ikff&format=geojson,,,,,reviewed,0,354,us,7000ikff,",us7000ikff,",",us,",",origin,phase-data,",32.0,1.175,1.12,64.0,mb,earthquake,"M 4.8 - 129 km WNW of Pangai, Tonga"
3.05,"6km NW of Walker, CA",1666765459660,1666801182867,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799336,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799336&format=geojson,4.0,3.1,,,reviewed,0,144,nc,73799336,",nc73799336,nn00850027,us7000ikfe,",",nc,nn,us,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",24.0,0.04026,0.08,64.0,ml,earthquake,"M 3.1 - 6km NW of Walker, CA"
2.3,"24 km E of Port Alsworth, Alaska",1666765218264,1666765383987,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022dqldodc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022dqldodc&format=geojson,,,,,automatic,0,81,ak,022dqldodc,",ak022dqldodc,",",ak,",",origin,phase-data,",,,0.99,,ml,earthquake,"M 2.3 - 24 km E of Port Alsworth, Alaska"
1.12,"3 km N of Tonasket, Washington",1666765114210,1666808097060,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61890081,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61890081&format=geojson,,,,,reviewed,0,19,uw,61890081,",uw61890081,",",uw,",",origin,phase-data,",8.0,0.01927,0.16,109.0,ml,earthquake,"M 1.1 - 3 km N of Tonasket, Washington"
1.1,California-Nevada border region,1666764743838,1666807801488,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850023,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850023&format=geojson,,,,,reviewed,0,19,nn,00850023,",nn00850023,",",nn,",",origin,phase-data,",14.0,0.142,0.184,133.26,ml,earthquake,M 1.1 - California-Nevada border region
1.7,,1666764711155,1666800865689,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022dqlbsxn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022dqlbsxn&format=geojson,,,,,reviewed,0,44,ak,022dqlbsxn,",ak022dqlbsxn,",",ak,",",origin,phase-data,",,,0.44,,ml,earthquake,M 1.7 - 
0.94,"17km N of Morgan Hill, CA",1666764671940,1666774511738,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799331,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799331&format=geojson,,,,,reviewed,0,14,nc,73799331,",nc73799331,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.06104,0.07,43.0,md,earthquake,"M 0.9 - 17km N of Morgan Hill, CA"
0.8,"30 km SW of Hawthorne, Nevada",1666764017500,1666807995898,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850022,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850022&format=geojson,,,,,reviewed,0,10,nn,00850022,",nn00850022,",",nn,",",origin,phase-data,",14.0,0.281,0.0658,189.44,ml,earthquake,"M 0.8 - 30 km SW of Hawthorne, Nevada"
0.2,"14km ESE of Mammoth Lakes, CA",1666763904150,1666769772378,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799326,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799326&format=geojson,,,,,reviewed,0,1,nc,73799326,",nc73799326,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.01853,0.06,205.0,md,earthquake,"M 0.2 - 14km ESE of Mammoth Lakes, CA"
1.52,"4km NNW of Anza, CA",1666763345000,1666792241980,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40365912,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40365912&format=geojson,,,,,reviewed,0,36,ci,40365912,",ci40365912,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",57.0,0.04274,0.19,22.0,ml,earthquake,"M 1.5 - 4km NNW of Anza, CA"
1.38,"3km NNW of Rancho Cucamonga, CA",1666762930710,1666805927980,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40365904,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40365904&format=geojson,,,,,reviewed,0,29,ci,40365904,",ci40365904,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",62.0,0.04662,0.15,26.0,ml,earthquake,"M 1.4 - 3km NNW of Rancho Cucamonga, CA"
0.19,Alaska Peninsula,1666762181840,1666859597560,,https://earthquake.usgs.gov/earthquakes/eventpage/av91703291,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91703291&format=geojson,,,,,reviewed,0,1,av,91703291,",av91703291,",",av,",",origin,phase-data,",4.0,,0.07,168.0,ml,earthquake,M 0.2 - Alaska Peninsula
3.2,"71 km N of Petersville, Alaska",1666761941208,1666762949040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022dqktdr1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022dqktdr1&format=geojson,,,,,automatic,0,158,ak,022dqktdr1,",us7000ikf9,ak022dqktdr1,",",us,ak,",",origin,phase-data,",,,0.62,,ml,earthquake,"M 3.2 - 71 km N of Petersville, Alaska"
1.58,"4 km SSW of Katie, Oklahoma",1666761791119,1666884946783,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022uywo,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022uywo&format=geojson,,,,,reviewed,0,38,ok,2022uywo,",ok2022uywo,",",ok,",",origin,phase-data,",86.0,0.007198587392,0.3,53.0,ml,earthquake,"M 1.6 - 4 km SSW of Katie, Oklahoma"
0.7,"36 km SSE of Goldfield, Nevada",1666761625716,1666838613947,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850114,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850114&format=geojson,,,,,reviewed,0,8,nn,00850114,",nn00850114,",",nn,",",origin,phase-data,",8.0,0.147,0.1418,210.69,ml,earthquake,"M 0.7 - 36 km SSE of Goldfield, Nevada"
2.13,"28 km E of Honaunau-Napoopoo, Hawaii",1666761524010,1666815535530,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73195887,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73195887&format=geojson,,,,,reviewed,0,70,hv,73195887,",hv73195887,",",hv,",",origin,phase-data,",10.0,,0.1,94.0,md,earthquake,"M 2.1 - 28 km E of Honaunau-Napoopoo, Hawaii"
1.17,"7km NW of The Geysers, CA",1666761481950,1666774931784,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799311,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799311&format=geojson,,,,,automatic,0,21,nc,73799311,",nc73799311,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",26.0,0.009848,0.02,50.0,md,earthquake,"M 1.2 - 7km NW of The Geysers, CA"
0.99,"5 km S of Katie, Oklahoma",1666759106260,1666879522657,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022uyvc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022uyvc&format=geojson,,,,,reviewed,0,15,ok,2022uyvc,",ok2022uyvc,",",ok,",",origin,phase-data,",23.0,0.0224955856,0.2,179.0,ml,earthquake,"M 1.0 - 5 km S of Katie, Oklahoma"
0.13,"85 km NNW of Karluk, Alaska",1666759009850,1666859135230,,https://earthquake.usgs.gov/earthquakes/eventpage/av91703256,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91703256&format=geojson,,,,,reviewed,0,0,av,91703256,",av91703256,",",av,",",origin,phase-data,",7.0,,0.09,77.0,ml,earthquake,"M 0.1 - 85 km NNW of Karluk, Alaska"
0.81,"12km NE of Julian, CA",1666758976790,1666804603198,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40365896,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40365896&format=geojson,,,,,reviewed,0,10,ci,40365896,",ci40365896,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",34.0,0.09998,0.16,58.0,ml,earthquake,"M 0.8 - 12km NE of Julian, CA"
4.1,"28 km WSW of Conner, Philippines",1666758856956,1667265468040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ili4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000ili4&format=geojson,,,,,reviewed,0,259,us,7000ili4,",us7000ili4,",",us,",",origin,phase-data,",20.0,5.051,0.55,94.0,mb,earthquake,"M 4.1 - 28 km WSW of Conner, Philippines"
1.1,"45 km ENE of Warm River, Idaho",1666758658730,1666792114260,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60521987,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60521987&format=geojson,,,,,reviewed,0,19,uu,60521987,",uu60521987,",",uu,",",origin,phase-data,",15.0,0.04203,0.29,94.0,md,earthquake,"M 1.1 - 45 km ENE of Warm River, Idaho"
2.1,"8 km ESE of Eureka Roadhouse, Alaska",1666758312995,1666758414376,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022dqk7vz7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022dqk7vz7&format=geojson,,,,,automatic,0,68,ak,022dqk7vz7,",ak022dqk7vz7,",",ak,",",origin,phase-data,",,,0.37,,ml,earthquake,"M 2.1 - 8 km ESE of Eureka Roadhouse, Alaska"
0.22,"24km N of Yucca Valley, CA",1666758231550,1666796206976,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40365888,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40365888&format=geojson,,,,,reviewed,0,1,ci,40365888,",ci40365888,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",5.0,0.07333,0.1,193.0,ml,earthquake,"M 0.2 - 24km N of Yucca Valley, CA"
1.1,"1 km SW of Coleville, California",1666758221481,1666805038724,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850019,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850019&format=geojson,1.0,0.0,,,reviewed,0,19,nn,00850019,",nn00850019,",",nn,",",dyfi,origin,phase-data,",20.0,0.03,0.1188,114.68,ml,earthquake,"M 1.1 - 1 km SW of Coleville, California"
4.4,southeast of the Loyalty Islands,1666758125400,1667264977040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ili3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000ili3&format=geojson,,,,,reviewed,0,298,us,7000ili3,",us7000ili3,",",us,",",origin,phase-data,",17.0,4.861,0.81,119.0,mb,earthquake,M 4.4 - southeast of the Loyalty Islands
1.13,"16km N of Morgan Hill, CA",1666757675990,1666775171957,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799296,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799296&format=geojson,,,,,reviewed,0,20,nc,73799296,",nc73799296,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",30.0,0.0637,0.07,42.0,md,earthquake,"M 1.1 - 16km N of Morgan Hill, CA"
1.7,"7 km WNW of Fox River, Alaska",1666757625414,1666757735096,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022dqk5dvx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022dqk5dvx&format=geojson,,,,,automatic,0,44,ak,022dqk5dvx,",ak022dqk5dvx,",",ak,",",origin,phase-data,",,,0.75,,ml,earthquake,"M 1.7 - 7 km WNW of Fox River, Alaska"
1.9,"126 km NW of Yakutat, Alaska",1666757606250,1666757737369,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022dqk5cep,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022dqk5cep&format=geojson,,,,,automatic,0,56,ak,022dqk5cep,",ak022dqk5cep,",",ak,",",origin,phase-data,",,,0.56,,ml,earthquake,"M 1.9 - 126 km NW of Yakutat, Alaska"
1.06,"15km W of Round Valley, CA",1666757591770,1666773251613,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799301,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799301&format=geojson,,,,,reviewed,0,17,nc,73799301,",nc73799301,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.1736,0.12,83.0,md,earthquake,"M 1.1 - 15km W of Round Valley, CA"
0.7,"5km S of Idyllwild, CA",1666757046170,1666802300058,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40365880,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40365880&format=geojson,,,,,reviewed,0,8,ci,40365880,",ci40365880,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",36.0,0.0172,0.16,60.0,ml,earthquake,"M 0.7 - 5km S of Idyllwild, CA"
0.94,"14km SE of Mammoth Lakes, CA",1666755038830,1666804638537,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799286,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799286&format=geojson,,,,,reviewed,0,14,nc,73799286,",nc73799286,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",19.0,0.04056,0.03,259.0,md,earthquake,"M 0.9 - 14km SE of Mammoth Lakes, CA"
0.16,"13km SE of Mammoth Lakes, CA",1666755026690,1666769112189,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799291,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799291&format=geojson,,,,,reviewed,0,0,nc,73799291,",nc73799291,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.03775,0.03,250.0,md,earthquake,"M 0.2 - 13km SE of Mammoth Lakes, CA"
2.1,"12 km ESE of Lindsay, Texas",1666754774528,1666824212451,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2022uyss,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2022uyss&format=geojson,,,,,reviewed,0,68,tx,2022uyss,",tx2022uyss,",",tx,",",origin,phase-data,",11.0,0.02683608685,0.2,79.0,ml,earthquake,"M 2.1 - 12 km ESE of Lindsay, Texas"
0.0,"47 km ESE of Goldfield, Nevada",1666754433205,1666838609000,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00850111,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00850111&format=geojson,,,,,reviewed,0,0,nn,00850111,",nn00850111,",",nn,",",origin,phase-data,",6.0,0.408,0.1782,241.52,ml,earthquake,"M 0.0 - 47 km ESE of Goldfield, Nevada"
0.71,"8km W of Cobb, CA",1666754400510,1666755792851,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799281,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799281&format=geojson,,,,,automatic,0,8,nc,73799281,",nc73799281,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.01024,0.01,52.0,md,earthquake,"M 0.7 - 8km W of Cobb, CA"
2.33,"9 km E of P?hala, Hawaii",1666754351660,1666756790040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73195782,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73195782&format=geojson,,,,,automatic,0,84,hv,73195782,",us7000iket,hv73195782,",",us,hv,",",origin,phase-data,",47.0,,0.119999997,163.0,ml,earthquake,"M 2.3 - 9 km E of P?hala, Hawaii"
1.15,"16km E of Seven Trees, CA",1666754112330,1666775773343,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799276,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799276&format=geojson,,,,,reviewed,0,20,nc,73799276,",nc73799276,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.05267,0.06,41.0,md,earthquake,"M 1.2 - 16km E of Seven Trees, CA"
1.0,,1666754060094,1666858551360,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022dqjk41l,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022dqjk41l&format=geojson,,,,,automatic,0,15,ak,022dqjk41l,",av91703231,ak022dqjk41l,",",av,ak,",",origin,phase-data,",,,0.48,,ml,earthquake,M 1.0 - 
1.5,"29 km S of Glacier View, Alaska",1666753868577,1666754984333,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022dqjjg09,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022dqjjg09&format=geojson,1.0,2.0,,,automatic,0,35,ak,022dqjjg09,",ak022dqjjg09,",",ak,",",dyfi,origin,phase-data,",,,0.9,,ml,earthquake,"M 1.5 - 29 km S of Glacier View, Alaska"
4.4,"5 km NNE of Huangala, Peru",1666753573342,1667263703040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000iker,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000iker&format=geojson,0.0,1.0,,,reviewed,0,298,us,7000iker,",us7000iker,",",us,",",dyfi,origin,phase-data,",52.0,1.341,0.54,90.0,mb,earthquake,"M 4.4 - 5 km NNE of Huangala, Peru"
0.97,"0km SSW of Round Valley, CA",1666752806140,1666772592553,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799271,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799271&format=geojson,,,,,reviewed,0,14,nc,73799271,",nc73799271,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.0657,0.03,74.0,md,earthquake,"M 1.0 - 0km SSW of Round Valley, CA"
2.76,"112km W of Ferndale, CA",1666750985430,1666781052445,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799261,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799261&format=geojson,1.0,2.0,,,reviewed,0,117,nc,73799261,",nc73799261,us7000ikef,",",nc,us,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",51.0,0.9659,0.21,260.0,md,earthquake,"M 2.8 - 112km W of Ferndale, CA"
1.5,"57 km WSW of Tatitlek, Alaska",1666750966574,1666751616108,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022dqj0g3e,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022dqj0g3e&format=geojson,,,,,automatic,0,35,ak,022dqj0g3e,",ak022dqj0g3e,",",ak,",",origin,phase-data,",,,0.51,,ml,earthquake,"M 1.5 - 57 km WSW of Tatitlek, Alaska"
2.2,"138 km NW of Yakutat, Alaska",1666750782958,1666751319040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022dqizss7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022dqizss7&format=geojson,,,,,automatic,0,74,ak,022dqizss7,",us7000iked,ak022dqizss7,",",us,ak,",",origin,phase-data,",,,0.52,,ml,earthquake,"M 2.2 - 138 km NW of Yakutat, Alaska"
0.21,"3km W of Cobb, CA",1666750702250,1666751716537,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799256,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799256&format=geojson,,,,,automatic,0,1,nc,73799256,",nc73799256,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.01139,0.01,120.0,md,earthquake,"M 0.2 - 3km W of Cobb, CA"
1.52,"21km ESE of Anza, CA",1666750498130,1666801661910,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40365872,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40365872&format=geojson,,,,,reviewed,0,36,ci,40365872,",ci40365872,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",76.0,0.06102,0.18,30.0,ml,earthquake,"M 1.5 - 21km ESE of Anza, CA"
1.5,"50 km S of Cantwell, Alaska",1666750460384,1666750560066,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022dqiyogm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022dqiyogm&format=geojson,,,,,automatic,0,35,ak,022dqiyogm,",ak022dqiyogm,",",ak,",",origin,phase-data,",,,0.21,,ml,earthquake,"M 1.5 - 50 km S of Cantwell, Alaska"
1.7,"24 km NE of Chenega, Alaska",1666750070618,1666750205871,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022dqix8s5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022dqix8s5&format=geojson,,,,,automatic,0,44,ak,022dqix8s5,",ak022dqix8s5,",",ak,",",origin,phase-data,",,,1.18,,ml,earthquake,"M 1.7 - 24 km NE of Chenega, Alaska"
1.4,Southern Alaska,1666749987436,1666750139129,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022dqiwz9z,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022dqiwz9z&format=geojson,,,,,automatic,0,30,ak,022dqiwz9z,",ak022dqiwz9z,",",ak,",",origin,phase-data,",,,0.26,,ml,earthquake,M 1.4 - Southern Alaska
2.0,"132 km NW of Yakutat, Alaska",1666749958276,1666750065114,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022dqiwtxv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022dqiwtxv&format=geojson,,,,,automatic,0,62,ak,022dqiwtxv,",ak022dqiwtxv,",",ak,",",origin,phase-data,",,,0.86,,ml,earthquake,"M 2.0 - 132 km NW of Yakutat, Alaska"
1.57,"84 km W of Adak, Alaska",1666749920710,1666858083020,,https://earthquake.usgs.gov/earthquakes/eventpage/av91703196,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91703196&format=geojson,,,,,reviewed,0,38,av,91703196,",av91703196,",",av,",",origin,phase-data,",4.0,,0.07,204.0,ml,earthquake,"M 1.6 - 84 km W of Adak, Alaska"
1.6,"21 km ENE of Point Possession, Alaska",1666749814814,1666749906304,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022dqiwcp5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022dqiwcp5&format=geojson,,,,,automatic,0,39,ak,022dqiwcp5,",ak022dqiwcp5,",",ak,",",origin,phase-data,",,,0.15,,ml,earthquake,"M 1.6 - 21 km ENE of Point Possession, Alaska"
1.15,"7km NW of The Geysers, CA",1666749682240,1666760053277,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799251,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799251&format=geojson,,,,,automatic,0,20,nc,73799251,",nc73799251,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.00972,0.02,50.0,md,earthquake,"M 1.2 - 7km NW of The Geysers, CA"
0.35,"7km NW of The Geysers, CA",1666749006740,1666750033245,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73799246,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73799246&format=geojson,,,,,automatic,0,2,nc,73799246,",nc73799246,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.01004,0.02,108.0,md,earthquake,"M 0.4 - 7km NW of The Geysers, CA"
